profile_id,dataset,latitude,longitude,total_depth_cm,n_layers,sum_OrgC_Stock_kgm2,mean_BDOD,mean_OrgC_pct,country_name,year,first,elevation_m,slope,elevationRelMHW,twi,dist_to_channel_m,tidal_flat_prob,coastal_dist_m,VV_mean,VH_mean,VVVH_ratio,B,G,R,B5,B6,B7,NIR,SWIR1,SWIR2,NDVI_median,LSWI_median,mNDWI_median,NDVI_stdDev,SAVI_median,tidal_wetness,MAT_C,MAP_mm
1035,Janousek,59.64043,-151.53098,50.0,8,34.9445,0.675,10.325,,,0.2167950031175412,3,0.0,2.5,6.907755278982137,256.3200988769531,0,284.60498046875,-13.47139885773974,-21.431353103298996,7.959954245559256,,,,,,,,,,,,,,,,4.036413043478261,715.7391304347826
1036,Janousek,59.64074,-151.53076,102.0,8,54.90165,0.71875,7.775,,,0.21278726128634887,4,2.6075026988983154,3.5,3.089144162351366,295.4657287597656,0,323.1098937988281,-12.54009951964641,-19.718030146281585,7.177930626635176,,,,,,,,,,,,,,,,4.036413043478261,715.7391304347826
1037,Janousek,59.63765,-151.5278,100.0,9,45.5515,1.3455555555555556,3.4722222222222223,,,0.14176495681022355,3,0.0,2.5,6.907755278982137,0.0,1,60.0,-12.996855640729803,-23.336602378104775,10.339746737374972,,,,,,,,,,,,,,,,4.123550724637681,692.4347826086957
1038,Janousek,59.63757,-151.52858,45.0,6,21.59255,1.5216666666666667,3.125,,,0.115428744075423,3,0.0,2.5,6.907755278982137,0.0,0,67.08203887939453,-13.630549468298451,-23.96435479417868,10.333805325880228,,,,,,,,,,,,,,,,4.036413043478261,715.7391304347826
1039,Janousek,59.63845,-151.52937,100.0,10,107.241,1.456,6.535,,,0.09763980814715287,3,0.0,2.5,6.907755278982137,67.08203887939453,0,212.1320343017578,-12.747554978360569,-21.716836479921316,8.969281501560747,,,,,,,,,,,,,,,,4.036413043478261,715.7391304347826
104,Janousek,48.5479,-122.51,100.0,4,4.1265,1.49,0.3,,,0.2004700020138976,0,0.0,-0.5,6.907755278982137,0.0,1,0.0,-20.99843210724533,-28.376514459283715,7.378082352038387,,,,,,,,,,,,,,,,10.605072463768115,823.6521739130435
1040,Janousek,59.64056,-151.5361,103.0,10,56.64405,0.752,8.525,,,0.21780457835295955,7,5.839401721954346,6.5,2.2801287090141593,150.0,0,180.0,-12.742661476306202,-20.184690204731947,7.442028728425745,,,,,,,,,,,,,,,,4.036413043478261,715.7391304347826
1041,Janousek,59.64109,-151.5356,55.0,8,23.1706,1.13625,3.9625,,,0.2171623965638854,10,4.97480583190918,9.5,2.4413240819967714,212.1320343017578,0,247.38633728027344,-9.954320485217488,-16.510395056446676,6.556074571229187,,,,,,,,,,,,,,,,4.036413043478261,715.7391304347826
1042,Janousek,59.55557,-151.30379,30.0,5,11.29675,1.336,3.19,,,0.17103416275349603,0,0.0,-0.5,6.907755278982137,60.0,1,174.92855834960938,-11.774895531797078,-20.16574967264017,8.390854140843093,,,,,,,,,,,,,,,,4.442210144927537,740.3913043478261
1044,Janousek,59.55116,-151.30472,30.0,6,9.883,1.106666666666667,4.95,,,0.16165606846455752,0,0.0,-0.5,6.907755278982137,547.4486083984375,0,630.7138671875,-11.984790429549527,-19.943852676173904,7.959062246624377,,,,,,,,,,,,,,,,4.442210144927537,740.3913043478261
