profile_id,dataset,latitude,longitude,total_depth_cm,n_layers,sum_OrgC_Stock_kgm2,mean_BDOD,mean_OrgC_pct,country_name,year
368,Janousek,45.48274,-123.89545,50,25,23.1597,0.7668,6.398,NA,NA
369,Janousek,45.48137,-123.89361,50,25,24.952399999999997,0.5851999999999999,9.112,NA,NA
37,Janousek,48.227,-122.384,100,43,27.32205,1.013720930232558,3.4465116279069767,NA,NA
370,Janousek,45.46867,-123.8805,50,25,26.451500000000003,0.576,9.274000000000001,NA,NA
371,Janousek,45.469,-123.88519,50,25,23.752200000000002,0.6692,7.564,NA,NA
372,Janousek,45.50962,-123.88386,50,25,28.6482,0.5188,11.252,NA,NA
373,Janousek,45.51025,-123.88378,50,25,38.8173,0.3972,21.214,NA,NA
374,Janousek,46.10026,-123.78333,50,25,19.7275,0.3984,10.184,NA,NA
375,Janousek,46.10576,-123.78404,50,25,25.8942,0.4432,11.87,NA,NA
376,Janousek,46.16869,-123.82468,50,25,17.6218,0.7388,5.06,NA,NA
377,Janousek,46.1676,-123.82514,50,25,30.2298,0.4136,15.204,NA,NA
378,Janousek,46.1676,-123.8262,50,25,33.4127,0.3764,18.326,NA,NA
38,Janousek,48.227,-122.383,50,25,16.2601,1.032,3.238,NA,NA
385,Janousek,47.09329,-122.70051,50,24,17.2914,0.5154166666666666,8.825,NA,NA
386,Janousek,47.09567,-122.69803,50,24,13.376800000000001,0.28958333333333336,9.966666666666667,NA,NA
387,Janousek,47.09337,-122.70092,52,26,15.1542,0.3557692307692308,8.411538461538461,NA,NA
388,Janousek,47.09662,-122.69857,54,27,16.17,0.6240740740740741,7.303703703703704,NA,NA
389,Janousek,47.09661,-122.69878,56,28,15.8714,0.4685714285714286,8.403571428571428,NA,NA
39,Janousek,48.226,-122.383,100,44,19.27355,1.2213636363636364,1.7857954545454546,NA,NA
390,Janousek,47.09662,-122.699,50,25,16.6108,0.3176,13.552,NA,NA
391,Janousek,54.18008,-130.18214,110,5,28.7703,0.578,6.06,NA,NA
392,Janousek,54.18011,-130.1823,90,3,8.4,0.5,2.8,NA,NA
393,Janousek,54.18072,-130.18513,50,2,12.028,1.24,2.1,NA,NA
394,Janousek,54.18108,-130.18519,100,3,26.631,0.64,4.5,NA,NA
395,Janousek,54.18097,-130.18494,100,3,24.406,0.24666666666666667,11.933333333333332,NA,NA
396,Janousek,54.16811,-130.15836,70,2,24.3544,0.355,10.45,NA,NA
397,Janousek,54.16805,-130.1585,100,4,21.608,0.7075,3.1500000000000004,NA,NA
398,Janousek,54.1683,-130.15872,100,4,14.897,1.135,1.3,NA,NA
399,Janousek,54.16633,-130.15577,100,3,23.366999999999997,0.7166666666666667,3.2666666666666666,NA,NA
4,Janousek,38.2021,-122.0281,30,5,13.038250000000001,0.256,16.975,NA,NA
40,Janousek,48.226,-122.383,100,45,23.1423,1.238888888888889,1.9877777777777779,NA,NA
